n a b p f(a) f(b) f(p) f(a)*f(p) error
1 3.2 4 3.6 -0.11199999999999477 2 0.3360000000000056 -0.037631999999998875 0.3999999999999999
2 3.2 3.6 3.4000000000000004 -0.11199999999999477 0.3360000000000056 -0.015999999999998238 0.001791999999999719 0.19999999999999996
3 3.4000000000000004 3.6 3.5 -0.015999999999998238 0.3360000000000056 0.125 -0.0019999999999997797 0.09999999999999987
4 3.4000000000000004 3.5 3.45 -0.015999999999998238 0.125 0.046125000000003524 -0.0007379999999999751 0.04999999999999982
5 3.4000000000000004 3.45 3.4250000000000003 -0.015999999999998238 0.046125000000003524 0.013015625000001307 -0.000208249999999998 0.02499999999999991
6 3.4000000000000004 3.4250000000000003 3.4125000000000005 -0.015999999999998238 0.013015625000001307 -0.0019980468750020464 3.196875000002922e-05 0.012499999999999956
7 3.4125000000000005 3.4250000000000003 3.41875 -0.0019980468750020464 0.013015625000001307 0.005381591796883356 -1.0752672672299437e-05 0.006249999999999867
